epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,929.452,0.04507,0.05181,0.15612,0.78735,0.98374,0.98535,0.99334,0.96336,0.98374,0.98535,0.99334,0.90089,0.05326,0.06639,0.17789,0.81492,0.000712,0.000712,0.000712
114,937.647,0.04459,0.05274,0.15279,0.78716,0.97945,0.99182,0.99312,0.96416,0.97945,0.99182,0.99312,0.9045,0.0516,0.06767,0.16942,0.81417,0.000709429,0.000709429,0.000709429
115,945.844,0.04397,0.05182,0.15131,0.78306,0.98514,0.98746,0.99293,0.96484,0.98514,0.98746,0.99293,0.90389,0.05239,0.06703,0.17022,0.81517,0.000706857,0.000706857,0.000706857
116,954.016,0.04408,0.05152,0.14888,0.78621,0.97693,0.99374,0.99342,0.96441,0.97693,0.99374,0.99342,0.90383,0.05315,0.06503,0.16976,0.81671,0.000704286,0.000704286,0.000704286
117,962.192,0.04389,0.0517,0.14867,0.78585,0.98293,0.9882,0.99307,0.96403,0.98293,0.9882,0.99307,0.90415,0.05236,0.06719,0.17467,0.81351,0.000701714,0.000701714,0.000701714
118,970.362,0.04451,0.05182,0.15013,0.78647,0.97948,0.99273,0.99332,0.96404,0.97948,0.99273,0.99332,0.9016,0.05288,0.06762,0.17232,0.8145,0.000699143,0.000699143,0.000699143
119,978.548,0.04458,0.05142,0.15136,0.78512,0.97882,0.99036,0.9927,0.96307,0.97882,0.99036,0.9927,0.90432,0.05341,0.0657,0.18108,0.81189,0.000696571,0.000696571,0.000696571
120,986.745,0.0444,0.05177,0.15193,0.78401,0.98112,0.98671,0.99271,0.96514,0.98112,0.98671,0.99271,0.89985,0.05206,0.06745,0.17744,0.81335,0.000694,0.000694,0.000694
121,994.954,0.04444,0.05191,0.15099,0.7849,0.97959,0.98904,0.99245,0.96265,0.97959,0.98904,0.99248,0.90126,0.05256,0.06707,0.1797,0.81697,0.000691429,0.000691429,0.000691429
122,1003.14,0.04517,0.0514,0.15371,0.78639,0.97556,0.99544,0.99355,0.96438,0.97556,0.99544,0.99355,0.90643,inf,0.06878,0.17302,0.81358,0.000688857,0.000688857,0.000688857
123,1011.33,0.04372,0.05139,0.14831,0.78681,0.97981,0.99207,0.99308,0.96567,0.97981,0.99207,0.99308,0.90612,0.05299,0.06741,0.17107,0.81135,0.000686286,0.000686286,0.000686286
124,1019.59,0.04373,0.05108,0.14747,0.78649,0.98364,0.9911,0.9933,0.96412,0.98364,0.9911,0.9933,0.90767,0.05345,0.06724,0.17149,0.81264,0.000683714,0.000683714,0.000683714
125,1027.78,0.04424,0.05145,0.15019,0.78484,0.98357,0.98719,0.99366,0.9651,0.98357,0.98719,0.99366,0.90773,0.05464,0.06741,0.1753,0.8116,0.000681143,0.000681143,0.000681143
126,1035.96,0.0447,0.05149,0.15099,0.78327,0.98254,0.98759,0.99302,0.96429,0.98254,0.98759,0.99302,0.90426,0.05397,0.06863,0.17675,0.81211,0.000678571,0.000678571,0.000678571
