epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1872.16,0.04147,0.05273,0.14416,0.79733,0.98562,0.98653,0.99341,0.96728,0.98562,0.98653,0.99341,0.95465,0.05156,0.07024,0.18265,0.83156,0.000794286,0.000794286,0.000794286
82,1895.16,0.04034,0.05107,0.14315,0.7914,0.98143,0.98903,0.99365,0.96741,0.98143,0.98903,0.99365,0.95572,0.05209,0.07014,0.18495,0.83243,0.000791714,0.000791714,0.000791714
83,1918.06,0.04102,0.05066,0.14198,0.79015,0.98999,0.98246,0.99283,0.96551,0.98999,0.98246,0.99283,0.95405,0.05201,0.07043,0.17768,0.82361,0.000789143,0.000789143,0.000789143
84,1940.96,0.04023,0.0513,0.14252,0.79251,0.98511,0.98584,0.99314,0.96833,0.98511,0.98584,0.99314,0.95726,0.04987,0.06939,0.17397,0.81035,0.000786571,0.000786571,0.000786571
85,1963.86,0.03976,0.05136,0.14267,0.78874,0.98521,0.98781,0.99335,0.96676,0.98521,0.98781,0.99335,0.95726,0.05186,0.0693,0.18291,0.81002,0.000784,0.000784,0.000784
86,1986.75,0.03969,0.05044,0.13938,0.78984,0.98718,0.98375,0.99288,0.96779,0.98718,0.98375,0.99288,0.95801,0.05146,0.07133,0.1867,0.81456,0.000781429,0.000781429,0.000781429
87,2009.73,0.03966,0.05035,0.14083,0.79176,0.98423,0.98901,0.99231,0.96647,0.98423,0.98901,0.99231,0.95386,0.05047,0.07265,0.18399,0.81236,0.000778857,0.000778857,0.000778857
88,2032.6,0.04031,0.051,0.14468,0.79337,0.98196,0.98793,0.99235,0.96529,0.98196,0.98793,0.99235,0.95614,0.05146,0.07043,0.19378,0.8201,0.000776286,0.000776286,0.000776286
89,2055.49,0.03889,0.04982,0.1401,0.79088,0.98057,0.98712,0.99307,0.96811,0.98057,0.98712,0.99307,0.95621,0.0527,0.07021,0.19309,0.81996,0.000773714,0.000773714,0.000773714
90,2078.47,0.03911,0.05001,0.14171,0.7908,0.98413,0.98453,0.99278,0.96636,0.98413,0.98453,0.99278,0.95721,0.05301,0.0716,0.19561,0.82454,0.000771143,0.000771143,0.000771143
91,2101.51,0.03933,0.05047,0.14036,0.78675,0.98555,0.98081,0.99225,0.96586,0.98555,0.98081,0.99225,0.95507,0.05096,0.07173,0.20375,0.81568,0.000768571,0.000768571,0.000768571
92,2124.49,0.03941,0.05029,0.1401,0.78832,0.98382,0.99054,0.99285,0.96677,0.98382,0.99054,0.99285,0.95517,0.05049,0.07044,0.17876,0.81566,0.000766,0.000766,0.000766
93,2147.46,0.03949,0.0507,0.13818,0.7927,0.9858,0.98422,0.99268,0.96812,0.9858,0.98422,0.99268,0.95285,0.05027,0.06963,0.1877,0.81291,0.000763429,0.000763429,0.000763429
94,2170.39,0.04041,0.05011,0.1404,0.79291,0.98165,0.99048,0.99295,0.96666,0.98165,0.99048,0.99295,0.95384,0.05155,0.0699,0.18828,0.81031,0.000760857,0.000760857,0.000760857
95,2193.37,0.03924,0.05022,0.13738,0.78797,0.98472,0.9863,0.99325,0.96972,0.98472,0.9863,0.99325,0.95262,0.04923,0.07127,0.18051,0.80695,0.000758286,0.000758286,0.000758286
96,2216.32,0.03956,0.04997,0.13632,0.79022,0.98409,0.98347,0.99304,0.96839,0.98409,0.98347,0.99304,0.95401,0.0508,0.07144,0.18232,0.811,0.000755714,0.000755714,0.000755714
97,2239.3,0.03897,0.05016,0.13408,0.78956,0.97871,0.99303,0.99309,0.96919,0.97871,0.99303,0.99309,0.95664,0.04998,0.06904,0.17484,0.81012,0.000753143,0.000753143,0.000753143
98,2262.25,0.03863,0.04991,0.13637,0.78817,0.97777,0.99039,0.99287,0.96594,0.97777,0.99039,0.99287,0.95354,0.05046,0.07008,0.18163,0.81818,0.000750571,0.000750571,0.000750571
99,2285.24,0.03844,0.04926,0.13594,0.788,0.98176,0.98798,0.99301,0.96776,0.98176,0.98798,0.99301,0.95537,0.05169,0.07279,0.18526,0.82103,0.000748,0.000748,0.000748
100,2308.19,0.0391,0.0507,0.13643,0.79328,0.983,0.98643,0.99371,0.96874,0.983,0.98643,0.99371,0.9577,0.05162,0.07047,0.18753,0.81364,0.000745429,0.000745429,0.000745429
101,2331.31,0.03931,0.05021,0.1356,0.79101,0.98495,0.98809,0.99356,0.96803,0.98495,0.98809,0.99356,0.95604,0.05022,0.07317,0.18807,0.81017,0.000742857,0.000742857,0.000742857
